Rank,Actor_ID,Name,Img_link,Experince,Work
235,nm1754059,Natalie Dormer,"https://m.media-amazon.com/images/M/MV5BNjM4NjQwMzE1Ml5BMl5BanBnXkFtZTgwNjg5MTM0NzE@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Game of Thrones (tt0944947)
236,nm0634240,Christopher Nolan,"https://m.media-amazon.com/images/M/MV5BNjE3NDQyOTYyMV5BMl5BanBnXkFtZTcwODcyODU2Mw@@._V1_UY209_CR5,0,140,209_AL_.jpg",Producer,Tenet (tt6723592)
237,nm1297015,Emma Stone,"https://m.media-amazon.com/images/M/MV5BMjI4NjM1NDkyN15BMl5BanBnXkFtZTgwODgyNTY1MjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,La La Land (tt3783958)
238,nm1302735,Max Thieriot,"https://m.media-amazon.com/images/M/MV5BNWYwZjBmNWQtZjIzOC00NWU4LThiMmItODMxZDZlNzc0YmZjXkEyXkFqcGdeQXVyMjk5NTg0Ng@@._V1_UY209_CR34,0,140,209_AL_.jpg",Actor,The Pacifier (tt0395699)
239,nm1732981,Martin McDonagh,"https://m.media-amazon.com/images/M/MV5BMTgxMTQ2Njc5NF5BMl5BanBnXkFtZTcwMDU2Mzc1MQ@@._V1_UY209_CR6,0,140,209_AL_.jpg",Writer,In Bruges (tt0780536)
240,nm5085683,Mckenna Grace,"https://m.media-amazon.com/images/M/MV5BMjdhZTJiNDMtM2M4Ni00ODNjLWE3ZmEtZjcyOWEzODJjMTc3XkEyXkFqcGdeQXVyMzQxNjUxMDE@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Gifted (tt4481414)
241,nm1429380,Britt Robertson,"https://m.media-amazon.com/images/M/MV5BMzM3NjAyNTQxOF5BMl5BanBnXkFtZTgwMDU2NDQ1ODE@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Tomorrowland (tt1964418)
242,nm0000404,Jane Fonda,"https://m.media-amazon.com/images/M/MV5BMzQ5NTE2MDAzOV5BMl5BanBnXkFtZTgwOTQ3MTQ3MjE@._V1_UY209_CR19,0,140,209_AL_.jpg",Actress,Klute (tt0067309)
243,nm0396558,Nicholas Hoult,"https://m.media-amazon.com/images/M/MV5BMTUxMTYxNzMzNF5BMl5BanBnXkFtZTcwMTU0NTcxOQ@@._V1_UY209_CR3,0,140,209_AL_.jpg",Actor,About a Boy (tt0276751)
244,nm0322407,Brendan Gleeson,"https://m.media-amazon.com/images/M/MV5BMTA3NTMxODI0OTBeQTJeQWpwZ15BbWU3MDQ1NTY5Mjc@._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,Calvary (tt2234003)
245,nm0914612,Emma Watson,"https://m.media-amazon.com/images/M/MV5BMTQ3ODE2NTMxMV5BMl5BanBnXkFtZTgwOTIzOTQzMjE@._V1_UY209_CR14,0,140,209_AL_.jpg",Actress,The Perks of Being a Wallflower (tt1659337)
246,nm1851981,Melissa Rauch,"https://m.media-amazon.com/images/M/MV5BMTMyMTQzMzU3M15BMl5BanBnXkFtZTcwNjE2OTczMQ@@._V1_UY209_CR69,0,140,209_AL_.jpg",Actress,The Big Bang Theory (tt0898266)
247,nm0000234,Charlize Theron,"https://m.media-amazon.com/images/M/MV5BMTk5Mzc4ODU0Ml5BMl5BanBnXkFtZTcwNjU1NTI0Mw@@._V1_UY209_CR8,0,140,209_AL_.jpg",Producer,Monster (tt0340855)
248,nm1821446,Hannah Waddingham,"https://m.media-amazon.com/images/M/MV5BNjk5ODc5MTU3MF5BMl5BanBnXkFtZTgwOTk2MjI5NDE@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Ted Lasso (tt10986410)
249,nm0001872,Steve Zahn,"https://m.media-amazon.com/images/M/MV5BMzc0MzcxMDgtMTIzNy00MmZkLTk5Y2EtYWQ1NWYzNDcyOGEzXkEyXkFqcGdeQXVyNjk1MjYyNTA@._V1_UY209_CR8,0,140,209_AL_.jpg",Actor,War for the Planet of the Apes (tt3450958)
250,nm0767242,Andrea Savage,"https://m.media-amazon.com/images/M/MV5BMjI2MTg4MTYxMV5BMl5BanBnXkFtZTgwNzk0MzEwMDI@._V1_UY209_CR5,0,140,209_AL_.jpg",Actress,I'm Sorry. (tt5987254)
251,nm0680983,Elliot Page,"https://m.media-amazon.com/images/M/MV5BNmNhZmFjM2ItNTlkNi00ZTQ4LTk3NzYtYTgwNTJiMTg4OWQzXkEyXkFqcGdeQXVyMTM1MjAxMDc3._V1_UY209_CR9,0,140,209_AL_.jpg",Actor,Juno (tt0467406)
252,nm0000134,Robert De Niro,"https://m.media-amazon.com/images/M/MV5BMjAwNDU3MzcyOV5BMl5BanBnXkFtZTcwMjc0MTIxMw@@._V1_UY209_CR9,0,140,209_AL_.jpg",Actor,Raging Bull (tt0081398)
253,nm4043618,Tom Holland,"https://m.media-amazon.com/images/M/MV5BNzZiNTEyNTItYjNhMS00YjI2LWIwMWQtZmYwYTRlNjMyZTJjXkEyXkFqcGdeQXVyMTExNzQzMDE0._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,Spider-Man: Homecoming (tt2250912)
254,nm0000505,Nia Long,"https://m.media-amazon.com/images/M/MV5BMjUxNzI2ODQ0N15BMl5BanBnXkFtZTgwOTAyMTY1NTM@._V1_UY209_CR19,0,140,209_AL_.jpg",Actress,The Best Man (tt0168501)
255,nm0185819,Daniel Craig,"https://m.media-amazon.com/images/M/MV5BMjEzMjk4NDU4MF5BMl5BanBnXkFtZTcwMDMyNjQzMg@@._V1_UY209_CR0,0,140,209_AL_.jpg",Actor,Casino Royale (tt0381061)
256,nm5245722,Adria Arjona,"https://m.media-amazon.com/images/M/MV5BYzEyNTYxMGEtMGZmYi00NGI0LWExMzUtMjhlMzgwNmJlMmYwXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Father of the Bride (tt13249596)
257,nm5353321,Cara Delevingne,"https://m.media-amazon.com/images/M/MV5BM2U4NmUwODQtN2IwNC00MzE0LThmYmQtNTFlYTg0OTdjYzcxXkEyXkFqcGdeQXVyMTE1MTYxNDAw._V1_UY209_CR11,0,140,209_AL_.jpg",Actress,Suicide Squad (tt1386697)
258,nm0159776,Erika Christensen,"https://m.media-amazon.com/images/M/MV5BNjQ3ODYyNTczOF5BMl5BanBnXkFtZTgwOTU1NDE2MDI@._V1_UY209_CR7,0,140,209_AL_.jpg",Actress,Traffic (tt0181865)
259,nm3239803,Kaitlyn Dever,"https://m.media-amazon.com/images/M/MV5BZDcyZTNjM2ItM2UyMC00YjdkLTk3MmEtZDk2Y2NiMWQ3NWY2XkEyXkFqcGdeQXVyMTk5MzgwMDM@._V1_UY209_CR2,0,140,209_AL_.jpg",Actress,Booksmart (tt1489887)
260,nm1083404,Sarah Shahi,"https://m.media-amazon.com/images/M/MV5BMTU0MzE2NTI1NV5BMl5BanBnXkFtZTcwODcwMzMwOQ@@._V1_UY209_CR1,0,140,209_AL_.jpg",Actress,Black Adam (tt6443346)
261,nm0000246,Bruce Willis,"https://m.media-amazon.com/images/M/MV5BMjA0MjMzMTE5OF5BMl5BanBnXkFtZTcwMzQ2ODE3Mw@@._V1_UY209_CR19,0,140,209_AL_.jpg",Actor,Die Hard (tt0095016)
262,nm0000398,Sally Field,"https://m.media-amazon.com/images/M/MV5BMTQwOTMyMDI4MV5BMl5BanBnXkFtZTcwMDYzMTM5OA@@._V1_UY209_CR6,0,140,209_AL_.jpg",Actress,Forrest Gump (tt0109830)
263,nm2265157,Isabelle Fuhrman,"https://m.media-amazon.com/images/M/MV5BZGRjZmY1YzMtODM4MS00NjE3LWJjZDYtMTA2MGI1YzczYTAxXkEyXkFqcGdeQXVyMTA1NjEwMTM@._V1_UY209_CR9,0,140,209_AL_.jpg",Actress,The Novice (tt11131464)
264,nm7228705,Antonia Gentry,"https://m.media-amazon.com/images/M/MV5BN2I0OTQwMjItMzQxOC00Yjc5LTliYTYtM2Q1ODE1YzZmMmRhXkEyXkFqcGdeQXVyMjAyMDEwNzE@._V1_UY209_CR13,0,140,209_AL_.jpg",Actress,Ginny & Georgia (tt10813940)
265,nm3948190,Michaela Coel,"https://m.media-amazon.com/images/M/MV5BMmI4YzMzZjYtNDRhNS00OWY0LWE2OTMtMDQ5YTQyYTM0ZWQ2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Chewing Gum (tt5097050)
266,nm1617568,Merle Dandridge,"https://m.media-amazon.com/images/M/MV5BODE5YjA2NmMtYmE4Yy00NzYzLWE3MjItNmVlODVmMDdiMDZkXkEyXkFqcGdeQXVyMzg1MDA0OQ@@._V1_UY209_CR8,0,140,209_AL_.jpg",Actress,Half-Life 2 (tt0374692)
267,nm0597388,Jason Momoa,"https://m.media-amazon.com/images/M/MV5BODJlNWQ4ZjUtYjRhNi00NGQ1LWE3YTItYjRmZGI3YzI4YTEyXkEyXkFqcGdeQXVyMTA2MDIzMDE5._V1_UY209_CR87,0,140,209_AL_.jpg",Actor,Aquaman (tt1477834)
268,nm3715867,Stephanie Beatriz,"https://m.media-amazon.com/images/M/MV5BN2Y3YWFkNGMtNjA3OS00ZTVhLTk0NDItODVkMmUxNTI1NTQ3XkEyXkFqcGdeQXVyMjMyOTczMTk@._V1_UY209_CR15,0,140,209_AL_.jpg",Actress,Encanto (tt2953050)
269,nm0000226,Will Smith,"https://m.media-amazon.com/images/M/MV5BNTczMzk1MjU1MV5BMl5BanBnXkFtZTcwNDk2MzAyMg@@._V1_UY209_CR2,0,140,209_AL_.jpg",Producer,The Fresh Prince of Bel-Air (tt0098800)
270,nm0000204,Natalie Portman,"https://m.media-amazon.com/images/M/MV5BYzU0ZGRhZWItMGJlNy00YzlkLWIzOWYtNDA2NzlhMDg3YjMwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Black Swan (tt0947798)
271,nm2857778,Janet Montgomery,"https://m.media-amazon.com/images/M/MV5BMDU5MzZmOTMtYzRiYi00YzE1LTgwYjctMTA4MmQ0MzVlOWI3XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR7,0,140,209_AL_.jpg",Actress,Black Swan (tt0947798)
272,nm2676147,Jonathan Groff,"https://m.media-amazon.com/images/M/MV5BMTUzMDM1NzkxN15BMl5BanBnXkFtZTgwOTg0MzMwNDI@._V1_UY209_CR8,0,140,209_AL_.jpg",Actor,Frozen (tt2294629)
273,nm0010075,Jensen Ackles,"https://m.media-amazon.com/images/M/MV5BMTcxMDk3NTgzNl5BMl5BanBnXkFtZTcwMTUzNzY3OQ@@._V1_UY209_CR8,0,140,209_AL_.jpg",Actor,Supernatural (tt0460681)
274,nm0121895,Tom Burke,"https://m.media-amazon.com/images/M/MV5BMjAxMjk4MjgyMl5BMl5BanBnXkFtZTcwODk1MjgxOA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,Only God Forgives (tt1602613)
275,nm0204706,Hope Davis,"https://m.media-amazon.com/images/M/MV5BOTM4Mjk5MjAwNF5BMl5BanBnXkFtZTcwNzQ3MTk3Mw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,American Splendor (tt0305206)
276,nm1154161,Laura Bailey,"https://m.media-amazon.com/images/M/MV5BNDQyODM4MDUtYWViZS00Yjc5LThjMDYtMGJjNTM5M2RmNzJiXkEyXkFqcGdeQXVyNjcxOTQxOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,The Legend of Vox Machina (tt11247158)
277,nm0110168,Connie Britton,"https://m.media-amazon.com/images/M/MV5BMTcyODQ2NDIxN15BMl5BanBnXkFtZTcwNTY4ODM2MQ@@._V1_UY209_CR15,0,140,209_AL_.jpg",Actress,Seeking a Friend for the End of the World (tt1307068)
278,nm6854116,Milly Alcock,"https://m.media-amazon.com/images/M/MV5BNmU5NjMyNWEtYTczYi00M2JkLWFkZjUtOTQzZGY2Y2RhMmU5XkEyXkFqcGdeQXVyNzU4NjkzNDc@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Upright (tt8765446)
279,nm0000668,Emma Thompson,"https://m.media-amazon.com/images/M/MV5BMTMwNTAyOTg0MF5BMl5BanBnXkFtZTcwNTg0MzY1Mw@@._V1_UY209_CR7,0,140,209_AL_.jpg",Actress,Sense and Sensibility (tt0114388)
280,nm8402992,Daisy Edgar-Jones,"https://m.media-amazon.com/images/M/MV5BZWMzNTE4NTMtYWU0My00ZTQ5LWEyNmUtNjk4NmU0YjY3YmIzXkEyXkFqcGdeQXVyODU0OTkyNTk@._V1_UY209_CR13,0,140,209_AL_.jpg",Actress,Normal People (tt9059760)
281,nm0695435,Chris Pratt,"https://m.media-amazon.com/images/M/MV5BZjdkYjg1NzMtOTY2YS00ZWI1LWEwZWYtOTU1YTM2ODA2ZWY5XkEyXkFqcGdeQXVyMTM1MjAxMDc3._V1_UY209_CR8,0,140,209_AL_.jpg",Actor,Guardians of the Galaxy (tt2015381)
282,nm0000553,Liam Neeson,"https://m.media-amazon.com/images/M/MV5BMjA1MTQ3NzU1MV5BMl5BanBnXkFtZTgwMDE3Mjg0MzE@._V1_UY209_CR35,0,140,209_AL_.jpg",Actor,Kinsey (tt0362269)
283,nm2142336,Riley Keough,"https://m.media-amazon.com/images/M/MV5BMTY2Nzc1ODkzMF5BMl5BanBnXkFtZTgwMDUwNjE5MDI@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Mad Max: Fury Road (tt1392190)
284,nm2375297,Ryan Eggold,"https://m.media-amazon.com/images/M/MV5BNjkwODMwNzQtZDhlNi00YzEyLTgwZjEtZTRjODk1YzRmYWY2XkEyXkFqcGdeQXVyMzI0NTE2Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,BlacKkKlansman (tt7349662)
285,nm5198446,Cecily Strong,"https://m.media-amazon.com/images/M/MV5BMTY1MTQ3MDIzOV5BMl5BanBnXkFtZTcwMTc1ODM4OA@@._V1_UY209_CR14,0,140,209_AL_.jpg",Actress,Saturday Night Live (tt0072562)
286,nm0001477,Robyn Lively,"https://m.media-amazon.com/images/M/MV5BZTllNjYzYTktMjY0Ny00NjcyLThjMjUtNjE4MzlhZmZlMmJkXkEyXkFqcGdeQXVyMTE2NzIxMjcx._V1_UY209_CR34,0,140,209_AL_.jpg",Actress,The Karate Kid Part III (tt0097647)
287,nm0000545,Helen Mirren,"https://m.media-amazon.com/images/M/MV5BMjA4MzY2ODU2MV5BMl5BanBnXkFtZTcwOTQ3ODY4OQ@@._V1_UY209_CR12,0,140,209_AL_.jpg",Actress,The Queen (tt0436697)
288,nm1046097,Rachel McAdams,"https://m.media-amazon.com/images/M/MV5BMTY5ODcxMDU4NV5BMl5BanBnXkFtZTcwMjAzNjQyNQ@@._V1_UY209_CR2,0,140,209_AL_.jpg",Actress,The Notebook (tt0332280)
289,nm4359664,Danielle Macdonald,"https://m.media-amazon.com/images/M/MV5BODJlNGU1YjctODNlNi00ZDYzLWJmODItZmY1ZWYwN2UzM2U1XkEyXkFqcGdeQXVyMjMwMTkzMDA@._V1_UY209_CR18,0,140,209_AL_.jpg",Actress,Patti Cake$ (tt6288250)
290,nm3614913,Zoey Deutch,"https://m.media-amazon.com/images/M/MV5BN2QyNDg5OTUtZWNmZS00MmY1LWFiNjgtNzdmNjczZmFkZjZhXkEyXkFqcGdeQXVyMjMwNzU2MjM@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Set It Up (tt5304992)
291,nm0628601,Thandiwe Newton,"https://m.media-amazon.com/images/M/MV5BNjMzNTAxNDUwNV5BMl5BanBnXkFtZTcwMjMyNjI5MQ@@._V1_UY209_CR10,0,140,209_AL_.jpg",Actress,Crash (tt0375679)
292,nm3948952,Vanessa Kirby,"https://m.media-amazon.com/images/M/MV5BYzUzNjkwMjMtODRiNi00ZTliLWE3Y2ItMDJmZmFmNjg1YTMyXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR1,0,140,209_AL_.jpg",Actress,The Crown (tt4786824)
293,nm1901842,Dichen Lachman,"https://m.media-amazon.com/images/M/MV5BYmYxMjNkMjMtYmE0MC00NTZhLWFlYzgtOWNjZmRkMzMyNmU4XkEyXkFqcGdeQXVyMzExMTQxMQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Jurassic World: Dominion (tt8041270)
294,nm0836121,Michael Stuhlbarg,"https://m.media-amazon.com/images/M/MV5BNjdjNTlhZjUtODA0MC00Mjc3LWExNmMtZDc5ZmI0ZmNlZWZmXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,A Serious Man (tt1019452)
295,nm5602169,Ashley Aufderheide,"https://m.media-amazon.com/images/M/MV5BMjBiNzNmZjYtYTQ5Ni00MmE4LTgwZGEtNDE1NGVkYTkxMTZjXkEyXkFqcGdeQXVyNjY0MDQyOTE@._V1_UY209_CR3,0,140,209_AL_.jpg",Actress,Going in Style (tt2568862)
296,nm0005520,Amber Valletta,"https://m.media-amazon.com/images/M/MV5BMTgyMjMxMzU1NF5BMl5BanBnXkFtZTcwNDcyMDY4Mg@@._V1_UY209_CR18,0,140,209_AL_.jpg",Actress,Gamer (tt1034032)
297,nm0721376,Natalia Reyes,"https://m.media-amazon.com/images/M/MV5BYzkxYmUzN2UtMjA1Zi00ZDM4LWIwYjQtMjI5YmJjNWM3MWQzXkEyXkFqcGdeQXVyNDY4MzQ2MTQ@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Terminator: Dark Fate (tt6450804)
298,nm4456120,Elizabeth Debicki,"https://m.media-amazon.com/images/M/MV5BMWRiNzczYzMtOGE1Yi00Njg0LWFkNTUtYzE3NmVkZDZkMjg5XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR14,0,140,209_AL_.jpg",Actress,The Great Gatsby (tt1343092)
299,nm2087783,Natalie Krill,"https://m.media-amazon.com/images/M/MV5BMTAxNTc3ODQwMDJeQTJeQWpwZ15BbWU4MDc4NjQ4NzYx._V1_UY209_CR0,0,140,209_AL_.jpg",Actress,Below Her Mouth (tt5073620)
300,nm3513533,Stephanie Hsu,"https://m.media-amazon.com/images/M/MV5BNmMxMjI0ZGItYThmMi00YTM0LTg5M2QtNTQxOTdmM2I5NDg3XkEyXkFqcGdeQXVyNTU0MjY5MjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,The Marvelous Mrs. Maisel (tt5788792)
301,nm0001349,Jennifer Love Hewitt,"https://m.media-amazon.com/images/M/MV5BNjIyNzI0MTAyOV5BMl5BanBnXkFtZTcwMDM3MTUwNw@@._V1_UY209_CR87,0,140,209_AL_.jpg",Actress,I Know What You Did Last Summer (tt0119345)
302,nm8948296,Michelle Randolph,"https://m.media-amazon.com/images/M/MV5BNzY3NGMwMjktZjc1Yy00ZWFhLWIxNGQtOTQ1MjE0ZmIzZmRlXkEyXkFqcGdeQXVyNzU1NzAxMTI@._V1_UY209_CR9,0,140,209_AL_.jpg",Actress,1923 (tt18335752)
303,nm1627969,Andrea Anders,"https://m.media-amazon.com/images/M/MV5BMjgxY2NiNDctYThjYy00M2M5LTkxNTUtNDE1OTAwYThlNmIyXkEyXkFqcGdeQXVyMzE3OTQyNTg@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Spirited (tt10999120)
304,nm0000199,Al Pacino,"https://m.media-amazon.com/images/M/MV5BMTQzMzg1ODAyNl5BMl5BanBnXkFtZTYwMjAxODQ1._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,Serpico (tt0070666)
305,nm0000217,Martin Scorsese,"https://m.media-amazon.com/images/M/MV5BMTcyNDA4Nzk3N15BMl5BanBnXkFtZTcwNDYzMjMxMw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Director,Taxi Driver (tt0075314)
306,nm1560493,Rachel Melvin,"https://m.media-amazon.com/images/M/MV5BMTU4MzM4Mzk4MF5BMl5BanBnXkFtZTgwMjg1Mzg1MTI@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Dumb and Dumber To (tt2096672)
307,nm1416900,Shantel VanSanten,"https://m.media-amazon.com/images/M/MV5BNTQxNWNiNzgtYjAzNy00MmM3LTgzNTUtYWE2NTMxOWQ0MTBlXkEyXkFqcGdeQXVyMTQxMTcxNzc@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Shooter (tt4181172)
308,nm0000120,Jim Carrey,"https://m.media-amazon.com/images/M/MV5BMTQwMjAwNzI0M15BMl5BanBnXkFtZTcwOTY1MTMyOQ@@._V1_UY209_CR15,0,140,209_AL_.jpg",Actor,Eternal Sunshine of the Spotless Mind (tt0338013)
309,nm1154749,Sofia Boutella,"https://m.media-amazon.com/images/M/MV5BMzU4ODM4MTQzMl5BMl5BanBnXkFtZTgwNTk5NzkxNTM@._V1_UY209_CR3,0,140,209_AL_.jpg",Actress,Kingsman: The Secret Service (tt2802144)
310,nm0000501,Ray Liotta,"https://m.media-amazon.com/images/M/MV5BMTU3NzM5MjUwMF5BMl5BanBnXkFtZTYwNDM2NDky._V1_UY209_CR0,0,140,209_AL_.jpg",Actor,GoodFellas (tt0099685)
311,nm1385871,Olga Kurylenko,"https://m.media-amazon.com/images/M/MV5BMTkyMzIwMjY1OF5BMl5BanBnXkFtZTcwNzA3MDkwOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Oblivion (tt1483013)
312,nm7232332,Karen Fukuhara,"https://m.media-amazon.com/images/M/MV5BMzY2YTIzZTUtMGVmMS00OWYzLTk1NjctNGJkOWY4YzQ3YjYxXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Suicide Squad (tt1386697)
313,nm0930286,Cindy Williams,"https://m.media-amazon.com/images/M/MV5BMTcwMTAzOTY5NV5BMl5BanBnXkFtZTYwNzUyNzI2._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Laverne & Shirley (tt0074016)
314,nm1024677,John Krasinski,"https://m.media-amazon.com/images/M/MV5BMTc3MzY3MjQ3OV5BMl5BanBnXkFtZTcwODI3NjQxMw@@._V1_UY209_CR5,0,140,209_AL_.jpg",Actor,Jack Ryan (tt5057054)
315,nm0642126,Con O'Neill,"https://m.media-amazon.com/images/M/MV5BNjM3OTc1Nzk0OF5BMl5BanBnXkFtZTcwOTEwNDA5Nw@@._V1_UY209_CR1,0,140,209_AL_.jpg",Actor,The Batman (tt1877830)
316,nm0735442,Michelle Rodriguez,"https://m.media-amazon.com/images/M/MV5BMTkwODIzMzYyMl5BMl5BanBnXkFtZTYwNzAyNjAz._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Fast & Furious 7 (tt2820852)
317,nm1720028,Amber Heard,"https://m.media-amazon.com/images/M/MV5BMjA4NDkyODA3M15BMl5BanBnXkFtZTgwMzUzMjYzNzM@._V1_UY209_CR34,0,140,209_AL_.jpg",Actress,Aquaman (tt1477834)
318,nm5584750,Sadie Sink,"https://m.media-amazon.com/images/M/MV5BYTUwZDRmNWUtMDUxMS00NTY1LWJjYTAtNjgyNTllNzZjMDFlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Stranger Things (tt4574334)
319,nm2090422,Constance Wu,"https://m.media-amazon.com/images/M/MV5BMjRhYTBlNmYtYTMzMi00YjIyLTllMWYtMDJkNGJjYmMzN2Q4XkEyXkFqcGdeQXVyNzU5OTk3OQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Crazy Rich Asians (tt3104988)
320,nm0540441,Jena Malone,"https://m.media-amazon.com/images/M/MV5BMTU0NDM5OTE0N15BMl5BanBnXkFtZTcwMzMzNjM0Nw@@._V1_UY209_CR15,0,140,209_AL_.jpg",Actress,The Neon Demon (tt1974419)
321,nm0000210,Julia Roberts,"https://m.media-amazon.com/images/M/MV5BMTQzNjU3MDczN15BMl5BanBnXkFtZTYwNzY2Njc4._V1_UY209_CR0,0,140,209_AL_.jpg",Actress,Pretty Woman (tt0100405)
322,nm0542133,Joe Manganiello,"https://m.media-amazon.com/images/M/MV5BOWI2MDE4YzAtZjQ5MS00NzdjLWFiYTEtZDUyMmM2OTdkNDA4XkEyXkFqcGdeQXVyMjY2OTExNA@@._V1_UY209_CR3,0,140,209_AL_.jpg",Actor,True Blood (tt0844441)
323,nm6350234,Simona Tabasco,"https://m.media-amazon.com/images/M/MV5BNzhjOGM0ZWMtZjNmZS00MGU2LTk2NmYtZWRiYjhiMTYwZDU0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR87,0,140,209_AL_.jpg",Actress,Perez. (tt3552638)
324,nm1469236,Olivia Colman,"https://m.media-amazon.com/images/M/MV5BMTY4MzU2ODIzNl5BMl5BanBnXkFtZTgwMTM2OTA1NzM@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,The Favourite (tt5083738)
325,nm0404307,Anna Hutchison,"https://m.media-amazon.com/images/M/MV5BMjllNjI2YjMtYmI2YS00YTdjLTg1YzMtOTNjNDQ5ZTI5ZWU2XkEyXkFqcGdeQXVyMTk1NzUwMA@@._V1_UY209_CR86,0,140,209_AL_.jpg",Actress,Robert the Bruce (tt8000908)
326,nm1597316,Adrianne Palicki,"https://m.media-amazon.com/images/M/MV5BMTQ4MjM4OTA2OF5BMl5BanBnXkFtZTcwNDM3NzIzOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,G.I. Joe: Retaliation (tt1583421)
327,nm0000673,Marisa Tomei,"https://m.media-amazon.com/images/M/MV5BMTUwMjA3OTc3N15BMl5BanBnXkFtZTcwNTA1MzY1Mw@@._V1_UY209_CR8,0,140,209_AL_.jpg",Actress,My Cousin Vinny (tt0104952)
328,nm1924196,Hannah Simone,"https://m.media-amazon.com/images/M/MV5BMTU0NTQyNzQ1MV5BMl5BanBnXkFtZTcwNDI4MTM1NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,New Girl (tt1826940)
329,nm0005460,Mary Steenburgen,"https://m.media-amazon.com/images/M/MV5BMTk1OTI5OTc0Nl5BMl5BanBnXkFtZTcwNjc5NDMwNA@@._V1_UY209_CR9,0,140,209_AL_.jpg",Actress,Last Vegas (tt1204975)
330,nm0000123,George Clooney,"https://m.media-amazon.com/images/M/MV5BMjEyMTEyOTQ0MV5BMl5BanBnXkFtZTcwNzU3NTMzNw@@._V1_UY209_CR7,0,140,209_AL_.jpg",Actor,The Ides of March (tt1124035)
331,nm1244069,Kenya Barris,"https://m.media-amazon.com/images/M/MV5BNzAzMThmZjctY2U2My00ZTk3LWFjM2YtNGEzMDlmZGZjYWU4XkEyXkFqcGdeQXVyNzExOTQxNjM@._V1_UX140_CR0,0,140,209_AL_.jpg",Writer,Black-ish (tt3487356)
332,nm0342488,Rupert Grint,"https://m.media-amazon.com/images/M/MV5BNTNhODBmODktNjViNC00MTM2LWExMzUtNzY3MTY5NWI1ZDE4XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,Harry Potter and the Sorcerer's Stone (tt0241527)
333,nm5555747,Callie Hernandez,"https://m.media-amazon.com/images/M/MV5BYzQyOWE4NTgtNDllYS00ZWM0LTk4ODAtZTNiYWE5MzJiZTJjXkEyXkFqcGdeQXVyNDE1MjI5NTY@._V1_UY209_CR72,0,140,209_AL_.jpg",Actress,Shotgun Wedding (tt9686790)
334,nm3417385,Rachel Bloom,"https://m.media-amazon.com/images/M/MV5BNDU5NTQ1OTQyMF5BMl5BanBnXkFtZTgwMDM0MDcwMTI@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Crazy Ex-Girlfriend (tt4094300)
