Rank,Actor_ID,Name,Img_link,Experince,Work
24,nm0796117,M. Night Shyamalan,"https://m.media-amazon.com/images/M/MV5BMTczMTA5OTMxMl5BMl5BanBnXkFtZTcwMDA4NDg1Mw@@._V1_UY209_CR87,0,140,209_AL_.jpg",Producer,Lady in the Water (tt0452637)
25,nm9135274,Nico Parker,"https://m.media-amazon.com/images/M/MV5BMTgzNTM1MDAxMV5BMl5BanBnXkFtZTgwMDM4NzcxNzM@._V1_UY209_CR0,0,140,209_AL_.jpg",Actress,Dumbo (tt3861390)
26,nm3053338,Margot Robbie,"https://m.media-amazon.com/images/M/MV5BMTgxNDcwMzU2Nl5BMl5BanBnXkFtZTcwNDc4NzkzOQ@@._V1_UY209_CR8,0,140,209_AL_.jpg",Actress,Suicide Squad (tt1386697)
27,nm0000097,Pamela Anderson,"https://m.media-amazon.com/images/M/MV5BYjQ5MDkyMGEtYmI0OS00MmM2LWE0MmEtZmQ2NjA5MzYyYTFjXkEyXkFqcGdeQXVyNjIwMTQzOTU@._V1_UY209_CR37,0,140,209_AL_.jpg",Actress,Barb Wire (tt0115624)
28,nm1404408,Alice Eve,"https://m.media-amazon.com/images/M/MV5BOTM5NzI1NTMwN15BMl5BanBnXkFtZTcwOTQ0NjExNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Before We Go (tt0443465)
29,nm1706767,Jonah Hill,"https://m.media-amazon.com/images/M/MV5BMTUyNDU0NzAwNl5BMl5BanBnXkFtZTcwMzQxMzIzNw@@._V1_UY209_CR19,0,140,209_AL_.jpg",Actor,21 Jump Street (tt1232829)
30,nm5896355,Anya Taylor-Joy,"https://m.media-amazon.com/images/M/MV5BMTllYmE5YTYtZGZmYy00ZTBlLWJlODEtYWQ0ZmU1YTJkMjJlXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,The Queen's Gambit (tt10048342)
31,nm3584268,James Norton,"https://m.media-amazon.com/images/M/MV5BMjc2Mzg5MjgxNF5BMl5BanBnXkFtZTgwODY4MDA1MDE@._V1_UY209_CR2,0,140,209_AL_.jpg",Actor,Little Women (tt3281548)
32,nm3996999,Brandon Sklenar,"https://m.media-amazon.com/images/M/MV5BZTliY2MwNjUtNTJjOS00YTcwLWE4MWYtNDM5Mjk2OTg5NmU3XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,The Offer (tt13111040)
33,nm0369513,Cole Hauser,"https://m.media-amazon.com/images/M/MV5BZWRiOTdjN2UtY2M1Yy00YzBjLWJmMzQtYTAyZGY4ZGFmZDRkXkEyXkFqcGdeQXVyNDI3NzU1NDE@._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,2 Fast 2 Furious (tt0322259)
